哺	2244
粗	2241
爪	2237
鳳	2236
牌	2232
麺	2231
飢	2213
稽	2205
醐	2204
鱗	2202
遽	2198
廠	2196
薫	2193
瘍	2192
醍	2191
堆	2190
癖	2186
鶏	2184
累	2183
股	2180
腺	2171
楊	2161
伺	2151
詠	2146
袁	2145
憧	2143
牟	2142
姻	2137
湊	2137
婿	2136
肌	2133
娠	2132
喧	2131
侶	2124
泡	2117
槽	2117
廻	2116
賑	2108
俣	2104
坪	2102
朴	2100
揆	2094
燕	2093
肪	2093
學	2092
暇	2090
裔	2080
頓	2077
宛	2074
窪	2071
溜	2063
湧	2060
赦	2043
宴	2041
哀	2037
曖	2032
憂	2031
睦	2030
凌	2022
圭	2020
楕	2018
皿	2016
辱	2002
霞	2002
枕	2001
痕	1997
飽	1990
吏	1982
閑	1982
鉢	1979
戴	1972
楠	1972
奔	1967
沸	1965
殴	1964
鷲	1961
云	1959
扶	1954
酢	1949
